numAnswers,calls,time
3,1266,0.001364
4,3121,0.005671
5,4724,0.055979
6,5699,0.194205
7,5310,0.217741
8,4697,0.25544
9,4223,0.32622
10,3545,0.371351
11,3287,0.449975
12,3000,0.505027
13,2706,0.521585
14,2816,0.632591
15,2513,0.578829
16,2268,0.538629
17,1931,0.476708
18,1758,0.420366
19,1562,0.382205
20,1235,0.31673
21,927,0.238269
22,727,0.20246
23,603,0.168263
24,460,0.129043
25,460,0.13199
26,416,0.121177
27,359,0.104708
28,309,0.090198
29,300,0.08702
30,292,0.089604
31,287,0.087601
32,243,0.077459
33,258,0.08073
34,223,0.071786
35,212,0.070408
36,209,0.069124
37,262,0.087522
38,214,0.0709
39,185,0.064988
40,195,0.067791
41,177,0.061381
42,174,0.063078
43,175,0.063181
44,189,0.070282
45,176,0.063681
46,138,0.050113
47,162,0.059853
48,137,0.048274
49,102,0.038283
50,99,0.037717
51,63,0.023807
52,76,0.029926
53,66,0.024302
54,60,0.023222
55,68,0.024858
56,32,0.01105
57,25,0.009646
58,24,0.008663
59,14,0.004679
60,23,0.007806
61,15,0.004724
62,19,0.006816
63,14,0.004674
64,6,0.002017
65,16,0.00576
66,7,0.002133
67,8,0.002452
68,10,0.002942
69,7,0.002286
70,5,0.001492
71,13,0.004453
72,13,0.00341
73,8,0.002427
74,4,0.001429
75,8,0.002307
77,7,0.002198
78,5,0.001629
79,7,0.00193
80,12,0.004132
81,2,0.000749
82,4,0.001124
83,6,0.002663
84,11,0.004217
85,3,0.001285
86,7,0.002229
87,5,0.001918
88,7,0.002296
89,1,0.000477
90,6,0.002458
91,4,0.001376
93,3,0.001425
94,2,0.000552
95,1,0.000274
96,1,0.000327
98,2,0.000834
99,3,0.000785
101,1,0.000389
102,1,0.000398
103,3,0.001064
104,1,0.000276
106,3,0.000991
108,1,0.000345
111,2,0.000697
113,1,0.00035
114,1,0.000338
117,1,0.00028
120,1,0.00028
124,1,0.000388
128,2,0.000683
129,1,0.000397
130,1,0.000278
134,1,0.000281
136,1,0.000341
140,1,0.000399
142,1,0.000393
143,1,0.000391
147,1,0.000394
150,1,0.000395
151,2,0.000768
153,1,0.000391
155,1,0.000384
162,2,0.000787
186,1,0.00025
206,1,0.000348
232,1,0.000423
238,1,0.000507
252,1,0.000505
