maxWrong: 0
word,numWrong,numTries
nolls,1,0
yetts,1,0
aulic,1,0
talcy,1,0
halls,1,0
elite,1,0
malms,1,0
matts,1,0
titre,1,0
baisa,1,0
shuln,1,0
crude,1,0
obese,1,0
gofer,0,0
kinds,0,0
lowed,0,0
actin,0,0
garbo,0,0
mirvs,0,0
warez,0,0
sewel,1,0
faver,0,0
nimps,0,0
denim,0,0
baghs,0,0
pseud,1,0
palps,1,0
malic,1,0
trite,1,0
snots,0,0
frass,0,0
styte,1,0
muxes,1,0
becap,0,0
malty,0,0
torta,1,0
gigas,1,0
slags,0,0
ligan,0,0
sekts,0,0
glide,0,0
waver,0,0
smarm,1,0
ammos,1,0
benga,0,0
ulnad,1,0
stulm,0,0
sorry,1,0
sotol,1,0
ensue,1,0
hacek,0,0
swerf,0,0
groma,0,0
grave,0,0
hogen,0,0
rugal,1,0
coths,1,0
askos,1,0
grike,0,0
torso,1,0
kylie,1,0
brave,0,0
duper,0,0
swive,0,0
fawns,0,0
adred,1,0
adsum,1,0
backs,0,0
kurta,0,0
kaphs,0,0
snaps,0,0
manul,1,0
orcin,1,0
icker,0,0
tynde,0,0
lovat,0,0
glent,0,0
kohen,0,0
sorbs,0,0
sloot,1,0
ratal,1,0
muist,1,0
overt,0,0
cobra,0,0
downs,0,0
snipy,0,0
dopey,1,0
wefts,0,0
cowls,0,0
moups,1,0
tasks,0,0
shiai,1,0
unarm,0,0
ghast,0,0
quate,1,0
kests,0,0
midst,1,0
otter,1,0
peach,0,0
nemns,1,0
risky,1,0
north,0,0
yrapt,0,0
kilps,0,0
afars,1,0
dorty,1,0
ataps,1,0
urped,0,0
grisy,1,0
meith,0,0
comal,1,0
yowls,1,0
beamy,0,0
slebs,0,0
tempi,0,0
pucer,0,0
oozes,1,0
atmas,1,0
sulfo,0,0
hawed,0,0
topee,0,0
etyma,0,0
ducts,1,0
feint,0,0
ylike,1,0
weise,1,0
pross,0,0
faint,0,0
fifes,1,0
slabs,0,0
fovea,0,0
blogs,0,0
mover,0,0
patte,0,0
onkus,1,0
knelt,0,0
lotic,0,0
niner,1,0
shans,1,0
spats,0,0
flota,0,0
visto,0,0
hurst,1,0
arepa,1,0
roved,0,0
suing,0,0
woker,0,0
pyran,0,0
bassi,0,0
fosse,0,0
mandi,0,0
hecks,0,0
shris,1,0
exuls,2,0
dicey,1,0
vairy,0,0
macon,1,0
vomer,0,0
glass,0,0
rezes,1,0
gnaws,0,0
asura,1,0
dowle,1,0
tuism,1,0
skene,0,0
impel,0,0
aloft,0,0
aglee,1,0
steys,1,0
antic,0,0
hongs,0,0
vasty,0,0
sieve,0,0
musit,1,0
cloke,0,0
orach,1,0
coped,0,0
robin,0,0
whore,1,0
ghest,0,0
swath,0,0
mopus,1,0
glute,0,0
brand,0,0
misos,1,0
stown,0,0
metho,0,0
sever,0,0
ileum,1,0
crept,0,0
taluk,0,0
expos,1,0
avows,0,0
lycra,0,0
deems,1,0
bower,0,0
cover,0,0
globs,0,0
wisha,1,0
hoyed,1,0
aumil,1,0
bless,0,0
souts,1,0
buran,0,0
lowan,0,0
lordy,0,0
senes,1,0
groin,0,0
masus,1,0
gault,0,0
nixer,1,0
bleak,0,0
sabal,0,0
meeds,1,0
apnea,1,0
ixora,1,0
foram,0,0
lawin,0,0
dawks,0,0
etape,0,0
copal,0,0
geste,0,0
atria,1,0
alcid,1,0
yodhs,1,0
cetyl,1,0
hemes,1,0
maaed,1,0
lunks,0,0
bunts,0,0
shawn,0,0
omasa,1,0
elvan,0,0
solon,1,0
galut,0,0
ahint,1,0
licks,0,0
tronc,0,0
beset,0,0
splog,0,0
nazir,0,0
round,1,0
forge,0,0
youks,1,0
peaky,0,0
bells,1,0
lungs,0,0
hardy,1,0
albee,1,0
perdu,0,0
twine,0,0
flake,0,0
vagus,0,0
matte,1,0
galop,0,0
yawps,0,0
odors,1,0
pardy,0,0
colin,1,0
sixes,1,0
eruct,0,0
seedy,1,0
garth,0,0
dover,0,0
stems,0,0
butle,0,0
tondi,0,0
pisos,1,0
weels,1,0
bisom,0,0
sutta,1,0
moped,0,0
firks,0,0
nonet,1,0
yeeds,1,0
kehua,1,0
fribs,0,0
gynos,1,0
tokay,1,0
tramp,0,0
mince,0,0
tryma,0,0
tubar,0,0
clave,0,0
quale,2,0
honks,0,0
orbit,0,0
piend,0,0
unsaw,0,0
exist,1,0
eyrie,1,0
sypes,0,0
dobla,0,0
hinau,1,0
barbe,1,0
uncle,1,0
erupt,0,0
shewn,0,0
orixa,1,0
mardy,0,0
kanas,1,0
feels,1,0
bonce,0,0
exalt,1,0
algas,1,0
veers,1,0
prude,0,0
quasi,2,0
scuse,1,0
begad,0,0
views,0,0
dread,1,0
melik,0,0
lapje,0,0
hunts,1,0
woald,1,0
homey,1,0
volta,0,0
narky,0,0
imams,1,0
drupe,0,0
unaus,1,0
chile,1,0
hover,0,0
silds,1,0
didos,1,0
leses,0,0
slash,1,0
frigs,0,0
ganev,0,0
newsy,0,0
yourt,1,0
goose,1,0
boose,1,0
deeps,1,0
piths,0,0
ollie,2,0
selfs,0,0
berth,0,0
gobar,0,0
piums,0,0
dovie,0,0
hoped,0,0
doily,1,0
squat,1,0
cloam,1,0
galls,1,0
toons,1,0
ihram,0,0
rumps,0,0
honda,1,0
skelf,0,0
bialy,1,0
mopey,0,0
softy,0,0
roost,1,0
smirs,1,0
bield,0,0
potsy,1,0
liven,0,0
farer,1,0
spets,0,0
nocks,0,0
demur,1,0
missa,1,0
balls,1,0
sewen,0,0
panic,0,0
albas,1,0
girsh,1,0
warty,0,0
nitry,0,0
taxol,1,0
razee,0,0
claut,1,0
dimps,0,0
thirl,1,0
curbs,0,0
homed,0,0
vints,0,0
nagas,1,0
pohed,0,0
raree,1,0
cutey,1,0
enoki,0,0
conge,0,0
gleba,0,0
meshy,1,0
debes,0,0
fykes,0,0
chape,0,0
clows,1,0
usure,1,0
mashy,1,0
yirrs,1,0
confs,0,0
casco,1,0
kelim,0,0
priss,0,0
sweel,1,0
waged,0,0
ewers,1,0
linga,0,0
hacks,0,0
pings,0,0
buoys,1,0
kells,1,0
bedes,0,0
coady,1,0
ferly,0,0
staps,0,0
canty,0,0
anglo,0,0
veles,1,0
video,0,0
surgy,0,0
embus,0,0
syrup,0,0
jilts,0,0
uveal,1,0
gyrus,1,0
patly,0,0
fogie,0,0
gauss,0,0
moors,1,0
drank,0,0
caved,0,0
debag,0,0
panim,0,0
scads,0,0
fouds,1,0
ranch,0,0
fleam,0,0
faked,0,0
chiao,1,0
flocs,0,0
nicad,0,0
snift,0,0
ervil,1,0
zoeae,1,0
graze,0,0
point,0,0
ticks,0,0
oonts,1,0
scrum,0,0
retch,0,0
gismo,0,0
rexes,1,0
sweet,0,0
jives,0,0
glibs,0,0
glary,1,0
serer,1,0
lubra,0,0
drily,1,0
tills,1,0
ovine,0,0
gyral,1,0
paean,1,0
misgo,0,0
laich,0,0
gibel,0,0
donee,1,0
amene,1,0
duads,1,0
above,0,0
gross,0,0
bongs,0,0
adays,1,0
chits,1,0
scody,1,0
chins,1,0
altar,1,0
trait,1,0
mauve,0,0
risps,0,0
braze,0,0
mings,0,0
serre,1,0
drove,0,0
cluey,1,0
burst,0,0
manly,0,0
sownd,0,0
ephor,1,0
exies,2,0
puled,1,0
swoun,0,0
batts,0,0
bilks,0,0
thigs,0,0
dirty,0,0
grand,0,0
tetri,1,0
tugra,0,0
decoy,1,0
kendo,0,0
grued,0,0
tilts,1,0
assez,0,0
unsex,1,0
clued,1,0
vison,0,0
mikra,0,0
ngati,0,0
vired,0,0
begot,0,0
manty,0,0
foyle,1,0
artal,1,0
speed,0,0
fiery,0,0
lowps,0,0
kenaf,0,0
admit,1,0
haunt,1,0
wroke,0,0
hejra,0,0
paved,0,0
musca,1,0
knaur,0,0
decaf,0,0
fakey,0,0
enter,0,0
rooms,1,0
amity,1,0
regar,1,0
erode,1,0
smith,0,0
snabs,0,0
bogle,0,0
adder,1,0
poilu,1,0
lurve,0,0
dekes,0,0
tungs,0,0
farci,0,0
atomy,1,0
wiled,1,0
bonks,0,0
deawy,1,0
hocus,1,0
pical,0,0
swang,0,0
corer,1,0
muted,1,0
meuse,1,0
klieg,0,0
shirs,1,0
grief,0,0
gonad,0,0
rawly,1,0
feens,1,0
shaky,0,0
lurex,1,0
meynt,0,0
align,0,0
kanae,0,0
gusto,1,0
serrs,1,0
brief,0,0
stags,0,0
voted,0,0
thiol,1,0
leves,0,0
porer,1,0
loach,0,0
manic,0,0
dolos,1,0
guiro,1,0
kelty,0,0
rangy,0,0
wited,0,0
alley,2,0
waldo,1,0
nimbs,0,0
voice,0,0
yukos,1,0
ratch,0,0
rawer,1,0
gnash,0,0
fermi,0,0
misty,0,0
knops,0,0
jurel,0,0
heeds,1,0
dogey,0,0
dools,1,0
hemin,0,0
shoyu,1,0
stool,1,0
muled,1,0
flaws,0,0
roque,1,0
movie,0,0
sunna,1,0
hutia,1,0
baith,0,0
lovey,0,0
cauld,1,0
gambe,0,0
yulan,1,0
teggs,0,0
cyano,1,0
kawed,0,0
irids,1,0
renin,1,0
steps,0,0
voled,0,0
burps,0,0
snebs,0,0
label,0,0
doxie,1,0
sinky,0,0
panne,1,0
truss,1,0
