maxWrong: 0
word,numWrong,numTries
wolly,1,0
gayal,1,0
ovoli,1,0
coyly,1,0
dowds,1,0
opepe,1,0
fille,1,0
hooka,1,0
comic,1,0
hullo,1,0
pulps,1,0
hobos,1,0
might,0,0
mawky,0,0
sumph,0,0
glede,0,0
iroko,1,0
wooed,1,0
whiss,0,0
tutee,1,0
quilt,1,0
vughs,0,0
clung,0,0
pigmy,0,0
boobs,1,0
breem,0,0
ogmic,0,0
venge,0,0
wecht,0,0
rugby,0,0
hazan,0,0
naval,0,0
karma,0,0
gulls,1,0
socko,0,0
kedge,0,0
idiom,1,0
waqfs,0,0
goldy,0,0
tanga,0,0
brown,0,0
hodad,1,0
tusks,0,0
jacal,0,0
polyp,1,0
foxed,0,0
convo,0,0
proof,0,0
mneme,1,0
bajra,0,0
fetch,0,0
munch,0,0
teeth,1,0
ginzo,0,0
scuds,0,0
crool,1,0
xylan,1,0
yacka,0,0
knurr,0,0
mekka,0,0
drill,1,0
himbo,0,0
crimp,0,0
spaza,0,0
muggs,1,0
clonk,0,0
soots,1,0
daych,0,0
droop,1,0
pownd,0,0
ahull,1,0
hence,0,0
twiny,0,0
tatar,1,0
fluid,0,0
wryer,1,0
zooey,1,0
usury,1,0
piing,0,0
curch,1,0
hadji,0,0
farad,0,0
gerbe,0,0
galah,0,0
whisk,0,0
pulmo,0,0
lavra,0,0
greek,0,0
wreck,0,0
gemel,0,0
hulls,1,0
wanna,1,0
roofy,1,0
chaya,1,0
kirby,0,0
gybed,0,0
arval,0,0
stubs,0,0
qibla,1,0
hooks,1,0
edify,0,0
ought,0,0
nizam,0,0
rubus,1,0
query,1,0
troop,0,0
flush,1,0
downy,0,0
hythe,1,0
heedy,1,0
photo,1,0
hanap,0,0
pucka,0,0
playa,1,0
fleck,0,0
marah,1,0
kutus,1,0
goyim,0,0
jarta,0,0
guyot,1,0
desex,1,0
attic,1,0
gothy,0,0
sniff,0,0
aalii,2,0
putts,1,0
prill,1,0
avgas,0,0
fatal,0,0
bulky,0,0
hench,0,0
owche,0,0
light,0,0
crudy,1,0
plouk,0,0
nandu,1,0
vitex,0,0
thong,0,0
prexy,1,0
mussy,1,0
snugs,0,0
acini,1,0
frowy,0,0
virid,0,0
murry,1,0
blitz,0,0
fanon,1,0
cohos,1,0
fling,0,0
foods,1,0
hempy,0,0
gyved,0,0
bough,0,0
gimpy,0,0
lulus,1,0
pixie,1,0
flock,0,0
munga,0,0
rumbo,0,0
annex,1,0
sully,1,0
nulla,1,0
busts,0,0
wrack,0,0
zimbs,0,0
maqui,1,0
ebbed,0,0
hooky,1,0
ritzy,0,0
stuff,0,0
karzy,0,0
godly,0,0
medii,1,0
ferer,1,0
bhoot,1,0
putti,1,0
kadai,0,0
chott,1,0
skegg,0,0
abask,0,0
boffs,1,0
daggy,1,0
kukri,1,0
bobos,1,0
ohmic,0,0
tinct,0,0
runny,1,0
anata,1,0
soggy,1,0
nduja,0,0
tuath,1,0
lusks,0,0
weepy,0,0
gooks,1,0
dingy,0,0
conic,1,0
fitch,0,0
churn,0,0
booay,1,0
kroon,0,0
patka,0,0
rumor,1,0
henny,1,0
elegy,1,0
miltz,0,0
booms,1,0
jocks,0,0
qophs,1,0
picul,0,0
ainga,0,0
crura,1,0
dayan,1,0
xerox,1,0
fouth,0,0
spoom,0,0
nebek,0,0
exurb,1,0
exert,1,0
ionic,1,0
stott,1,0
aband,0,0
conky,0,0
usurp,1,0
sumps,0,0
bigha,0,0
hided,1,0
gleby,0,0
offed,0,0
missy,1,0
pyxie,1,0
coffs,1,0
hoofs,1,0
dwang,0,0
brock,0,0
hillo,1,0
vrouw,0,0
knell,0,0
mambo,0,0
xenon,1,0
axing,0,0
bound,0,0
gulpy,0,0
druxy,1,0
banya,0,0
added,1,0
ollav,1,0
sissy,1,0
busky,0,0
lemme,0,0
rotor,1,0
frory,1,0
belle,1,0
cylix,1,0
kiddo,1,0
ferry,0,0
dying,0,0
filch,0,0
alkyl,1,0
titup,1,0
feued,0,0
dhobi,0,0
hefte,0,0
oboli,1,0
bromo,0,0
pipis,1,0
unbid,0,0
fique,1,0
bazar,0,0
kopek,0,0
khoum,1,0
skogs,0,0
floor,0,0
esses,1,0
aurar,1,0
kevel,0,0
wormy,0,0
elfed,0,0
fisks,0,0
gawky,0,0
doyly,1,0
gawcy,0,0
enzym,0,0
fjord,0,0
jaggs,1,0
grouf,0,0
gadjo,0,0
iambi,0,0
merer,1,0
brung,0,0
preve,0,0
boded,0,0
execs,1,0
niton,1,0
emend,0,0
furor,1,0
grimy,0,0
fishy,1,0
yarak,1,0
dimbo,0,0
madid,1,0
viver,1,0
elver,1,0
feyed,0,0
xysts,1,0
bourg,0,0
comby,0,0
gripy,0,0
busks,0,0
twits,1,0
cooks,1,0
bivia,0,0
voddy,1,0
dusky,1,0
dufus,1,0
halwa,1,0
ching,0,0
vanda,0,0
baddy,1,0
taffy,0,0
quoif,1,0
dixie,1,0
breer,1,0
tyiyn,1,0
motor,1,0
clack,0,0
shish,1,0
molly,1,0
pocky,0,0
gelee,1,0
scoop,0,0
hedgy,0,0
bulgy,0,0
quell,2,0
tatty,1,0
moove,0,0
howdy,1,0
hulky,1,0
micht,0,0
exode,1,0
wheel,1,0
pinny,1,0
busby,1,0
queme,1,0
kabob,0,0
beedi,0,0
fungi,0,0
refry,0,0
lucky,0,0
sunup,1,0
baiza,0,0
mosso,1,0
woosh,1,0
knoll,0,0
illth,1,0
jerky,0,0
moobs,1,0
bosks,0,0
croci,1,0
braza,0,0
sowms,0,0
hissy,1,0
plink,0,0
brede,0,0
lingy,0,0
doorn,1,0
dryad,1,0
pissy,1,0
ganch,0,0
skews,0,0
gusts,0,0
pilum,0,0
vowed,0,0
aboma,0,0
cobbs,1,0
orlop,1,0
quoin,1,0
murra,1,0
gleed,0,0
vills,1,0
skims,0,0
jefes,0,0
atman,0,0
sudsy,1,0
ohing,0,0
kapok,0,0
patty,1,0
afoot,0,0
robot,0,0
poove,0,0
quipo,1,0
scoff,0,0
crump,0,0
looky,0,0
impis,0,0
tough,0,0
byssi,0,0
cycle,1,0
jooks,1,0
tempt,0,0
becke,0,0
bevel,0,0
gushy,1,0
mirin,0,0
bylaw,0,0
jambo,0,0
junto,1,0
oucht,1,0
forby,0,0
evhoe,0,0
occam,1,0
dusks,0,0
dsomo,1,0
flaky,0,0
plotz,0,0
keyed,0,0
exfil,1,0
pitch,0,0
plunk,0,0
mirid,1,0
amici,1,0
almah,1,0
gotch,0,0
naggy,1,0
luffa,0,0
bilgy,0,0
geeky,0,0
rhumb,0,0
mitch,0,0
adzed,0,0
moony,1,0
mumsy,1,0
egger,1,0
tutus,1,0
primi,0,0
jumar,0,0
kinky,0,0
rigid,0,0
fabby,0,0
baffy,0,0
cinch,1,0
couch,1,0
kippa,0,0
ilial,2,0
tiyin,1,0
mochy,0,0
dubbo,1,0
mucho,1,0
dunch,0,0
gibli,0,0
duffs,1,0
unhip,0,0
mimsy,1,0
ticky,0,0
fusts,0,0
tweed,0,0
commy,1,0
mucic,1,0
skull,0,0
oxlip,1,0
pally,1,0
shyly,1,0
whity,0,0
withy,0,0
junta,0,0
bludy,0,0
linux,0,0
euked,0,0
brick,0,0
build,0,0
guild,0,0
chivs,0,0
annoy,1,0
faggy,0,0
peize,0,0
halma,1,0
wedel,1,0
bhuna,0,0
blimy,0,0
epoxy,1,0
kimbo,0,0
blown,0,0
mucks,0,0
fezes,0,0
plong,0,0
wifed,0,0
mohos,1,0
wizen,0,0
kreep,0,0
newel,0,0
dodgy,1,0
breed,0,0
slush,1,0
dimly,1,0
slubs,0,0
kinks,1,0
xysti,1,0
parma,0,0
again,0,0
locum,0,0
jivey,0,0
soppy,1,0
porch,0,0
jimpy,0,0
adman,1,0
burqa,1,0
funky,0,0
chirk,0,0
conin,1,0
furzy,0,0
mumus,1,0
cheth,0,0
cleck,0,0
bozos,1,0
sunns,1,0
cleve,0,0
