maxWrong: 0
word,numWrong,numTries
drill,1,0
query,1,0
soots,1,0
rubus,1,0
annoy,1,0
mohos,1,0
plong,0,0
slush,1,0
dimly,1,0
newel,0,0
wizen,0,0
xysti,1,0
clonk,0,0
crimp,0,0
sumph,0,0
wifed,0,0
kinks,1,0
kreep,0,0
ydred,1,0
piped,1,0
swees,1,0
breem,0,0
parma,0,0
guild,0,0
allel,1,0
porch,0,0
rooty,1,0
daych,0,0
slubs,0,0
bewig,0,0
chivs,0,0
nizam,0,0
theed,1,0
bring,0,0
skivy,0,0
trump,0,0
flype,0,0
kench,0,0
poohs,1,0
larva,0,0
twank,0,0
marah,1,0
twang,0,0
drunk,0,0
forum,0,0
plack,0,0
hoops,1,0
umphs,0,0
pygal,0,0
lungi,0,0
donor,1,0
dhikr,0,0
sighs,0,0
haram,1,0
regur,1,0
fezes,0,0
frith,0,0
ryper,1,0
fonly,0,0
emery,1,0
breed,0,0
papas,1,0
avgas,0,0
ticca,1,0
color,1,0
soppy,1,0
linky,0,0
endue,1,0
abmho,0,0
pivot,0,0
skaws,0,0
howfs,0,0
reech,1,0
mimed,1,0
sulks,0,0
linch,0,0
goyim,0,0
dazed,0,0
untax,1,0
jirre,1,0
sposh,0,0
blech,0,0
rocky,0,0
would,1,0
mauby,0,0
crazy,0,0
mamas,1,0
platt,1,0
gowfs,0,0
banal,1,0
again,0,0
fumed,0,0
mucks,0,0
havoc,0,0
pucks,0,0
celeb,0,0
mekka,0,0
dhuti,1,0
mulls,1,0
agloo,1,0
mouth,1,0
stums,0,0
pomps,1,0
light,0,0
locum,0,0
rumbo,0,0
annex,1,0
sully,1,0
nulla,1,0
beted,0,0
hefty,0,0
munga,0,0
skegg,0,0
dowry,0,0
hided,1,0
gleby,0,0
missy,1,0
pyxie,1,0
edify,0,0
picul,0,0
execs,1,0
niton,1,0
foods,1,0
fishy,1,0
yarak,1,0
grimy,0,0
madid,1,0
viver,1,0
elver,1,0
bound,0,0
dimbo,0,0
upjet,0,0
gripy,0,0
twits,1,0
bourg,0,0
bhuna,0,0
doorn,1,0
dryad,1,0
lingy,0,0
pissy,1,0
ganch,0,0
bigha,0,0
skews,0,0
gusts,0,0
vowed,0,0
bonza,0,0
pilum,0,0
brede,0,0
bawty,0,0
ohing,0,0
goops,1,0
booms,1,0
pogos,1,0
breme,0,0
thilk,0,0
kadai,0,0
lieve,0,0
futon,0,0
fusty,0,0
whamo,0,0
deuce,1,0
anyon,1,0
clepe,0,0
vodka,0,0
sooky,1,0
moobs,1,0
sills,1,0
favas,0,0
jefes,0,0
ydrad,1,0
boded,0,0
osmol,1,0
rigor,1,0
yokul,1,0
campy,0,0
furrs,1,0
owche,0,0
swill,1,0
welch,0,0
neive,0,0
swung,0,0
pulls,1,0
build,0,0
mooks,1,0
aggri,1,0
tween,0,0
gucks,0,0
jibed,0,0
praam,0,0
never,0,0
felch,0,0
bingo,0,0
notch,0,0
reccy,1,0
chugs,1,0
tanka,0,0
gurge,1,0
gnarr,0,0
beedi,0,0
sippy,1,0
scaff,0,0
incog,0,0
rowdy,0,0
bodhi,0,0
nabla,0,0
thrum,0,0
debug,0,0
churl,1,0
tewit,0,0
glial,1,0
annul,1,0
capiz,0,0
rondo,1,0
jolls,1,0
mokos,1,0
reddy,1,0
erven,0,0
sicks,0,0
kylin,0,0
grund,0,0
gymps,0,0
budge,0,0
tenth,1,0
chubs,0,0
koori,1,0
nabob,0,0
goldy,0,0
tanga,0,0
hodad,1,0
brown,0,0
crool,1,0
xylan,1,0
yoick,0,0
farad,0,0
gerbe,0,0
boson,1,0
pulmo,0,0
greek,0,0
lavra,0,0
wreck,0,0
hulls,1,0
gemel,0,0
desex,1,0
attic,1,0
scuds,0,0
cohos,1,0
hempy,0,0
hadji,0,0
wrack,0,0
busts,0,0
maqui,1,0
zimbs,0,0
karzy,0,0
godly,0,0
medii,1,0
ritzy,0,0
fanon,1,0
lusks,0,0
bluid,0,0
qophs,1,0
abask,0,0
crura,1,0
dayan,1,0
xerox,1,0
guyot,1,0
spoom,0,0
jocks,0,0
skogs,0,0
wormy,0,0
kopek,0,0
ainga,0,0
gadjo,0,0
soggy,1,0
dusky,1,0
hedgy,0,0
scoop,0,0
bosks,0,0
croci,1,0
sowms,0,0
hissy,1,0
plink,0,0
cooks,1,0
orlop,1,0
quoin,1,0
murra,1,0
gleed,0,0
vills,1,0
skims,0,0
motor,1,0
sudsy,1,0
jagas,1,0
pinna,1,0
mazut,0,0
hurra,1,0
atman,0,0
woods,1,0
dhobi,0,0
cling,0,0
poort,0,0
epopt,0,0
hahas,1,0
jaded,1,0
varan,0,0
embog,0,0
duett,1,0
daraf,0,0
ledge,0,0
porno,0,0
cobbs,1,0
jerky,0,0
proll,1,0
hadal,1,0
genii,0,0
debel,0,0
lagan,0,0
kusso,1,0
cooee,1,0
ancon,1,0
bossy,1,0
shuts,1,0
bedel,0,0
kebab,0,0
cuspy,0,0
culty,1,0
wexes,1,0
quirt,1,0
adapt,1,0
polio,1,0
ditto,1,0
varna,0,0
phang,0,0
cromb,0,0
swoon,1,0
gigue,1,0
hilum,1,0
kelep,0,0
gravy,0,0
winze,0,0
india,1,0
jumar,0,0
accas,1,0
quyte,1,0
yupon,1,0
pling,0,0
awarn,0,0
boohs,1,0
wrong,0,0
trull,1,0
evite,0,0
fille,1,0
pulps,1,0
hobos,1,0
crowd,0,0
hence,0,0
pooks,1,0
pulus,1,0
kauru,1,0
mutts,1,0
towny,0,0
lying,0,0
snubs,0,0
crypt,0,0
spaza,0,0
numen,1,0
thana,1,0
dwarf,0,0
frack,0,0
barca,0,0
ennui,1,0
grift,0,0
bohos,1,0
kerry,1,0
rammy,1,0
dumka,0,0
corno,1,0
couth,1,0
tying,0,0
twite,0,0
pimps,0,0
fitly,0,0
jihad,0,0
kvass,0,0
panda,0,0
massa,1,0
feyer,0,0
curdy,1,0
kopje,0,0
ycond,1,0
uncoy,1,0
chyme,0,0
amaut,1,0
edger,0,0
moron,1,0
rymme,1,0
cohoe,1,0
chive,0,0
kanji,0,0
flamy,0,0
sunny,1,0
nieve,0,0
hyrax,1,0
grown,0,0
limma,0,0
bleed,0,0
revue,1,0
zoons,1,0
dally,1,0
doffs,1,0
scoog,0,0
vocab,0,0
imide,1,0
bombs,1,0
poaka,0,0
scull,1,0
mihis,1,0
needy,1,0
babas,1,0
homme,1,0
zigan,0,0
dildo,1,0
bucks,0,0
proto,0,0
lezza,0,0
stots,1,0
parka,0,0
marka,0,0
lazar,0,0
fecht,0,0
gaffe,0,0
snush,1,0
mogul,0,0
cowry,0,0
barry,1,0
touch,1,0
sojus,1,0
daman,1,0
sunks,0,0
chirp,0,0
docht,0,0
idiot,1,0
furze,0,0
chalk,0,0
ochry,1,0
runch,0,0
chirm,0,0
compt,0,0
spiks,0,0
cleek,0,0
sowps,0,0
bortz,0,0
volve,1,0
ember,0,0
loofa,0,0
waltz,0,0
theme,0,0
lough,0,0
phene,0,0
nowty,0,0
skips,0,0
gonif,0,0
hodja,0,0
gauch,0,0
laldy,0,0
klett,0,0
scows,0,0
bleep,0,0
keeks,1,0
lupus,0,0
clink,0,0
whews,1,0
ammon,1,0
indow,0,0
skink,0,0
dowds,1,0
glede,0,0
iroko,1,0
wooed,1,0
wecht,0,0
karma,0,0
gulls,1,0
waqfs,0,0
tusks,0,0
foxed,0,0
fetch,0,0
kirby,0,0
gybed,0,0
arval,0,0
stubs,0,0
qibla,1,0
hooks,1,0
troop,0,0
flush,1,0
bided,0,0
jarta,0,0
prill,1,0
putts,1,0
fatal,0,0
plouk,0,0
nandu,1,0
vitex,0,0
thong,0,0
prexy,1,0
snugs,0,0
acini,1,0
crudy,1,0
churn,0,0
booay,1,0
gobos,1,0
amaze,0,0
gooks,1,0
tough,0,0
birch,0,0
impis,0,0
junta,0,0
xoana,1,0
beget,0,0
combi,0,0
rhomb,0,0
alvar,0,0
abray,1,0
gadid,1,0
agave,0,0
makar,0,0
child,0,0
renne,1,0
asway,1,0
lolls,1,0
pulik,0,0
zills,1,0
aloof,1,0
adyta,1,0
yoofs,1,0
klong,0,0
alibi,1,0
spuds,0,0
aargh,0,0
truck,0,0
black,0,0
clown,0,0
telex,1,0
covin,0,0
jowed,0,0
palay,1,0
wench,0,0
flawn,0,0
navar,0,0
toots,1,0
aurum,1,0
hoggs,1,0
blatt,0,0
pushy,1,0
cocks,1,0
dwaum,0,0
bulls,1,0
diked,0,0
kedgy,0,0
union,1,0
pecky,0,0
hucks,1,0
alang,0,0
outby,1,0
weave,0,0
gopik,0,0
flexo,1,0
fugal,0,0
poncy,0,0
chang,0,0
bisks,0,0
nicht,0,0
heben,0,0
ulama,1,0
waffs,0,0
skosh,0,0
quino,1,0
awash,1,0
equid,1,0
mushy,1,0
umiaq,1,0
hoghs,1,0
thack,0,0
delly,1,0
mulct,0,0
xylem,1,0
byked,0,0
honor,1,0
afoot,0,0
assay,1,0
leech,0,0
nevel,0,0
haika,1,0
fitte,0,0
fiscs,0,0
pacta,0,0
mochi,0,0
toxic,1,0
unwit,0,0
cymol,0,0
socko,0,0
finis,1,0
found,0,0
chout,1,0
ephah,1,0
mothy,1,0
mooli,1,0
wived,0,0
laddy,0,0
kempy,0,0
arroz,1,0
wrawl,1,0
krubi,0,0
teddy,1,0
coofs,1,0
fanal,1,0
atigi,0,0
pikul,0,0
animi,1,0
swops,0,0
kerky,1,0
chocs,1,0
avyze,0,0
sexes,1,0
grebe,0,0
wound,0,0
tupik,0,0
oribi,1,0
begum,0,0
cauda,1,0
unbag,0,0
crewe,0,0
whelm,0,0
cajun,0,0
plebe,0,0
swims,0,0
cubit,0,0
ghoul,1,0
yfere,0,0
lytta,0,0
exile,2,0
cushy,1,0
books,1,0
kakas,1,0
jills,1,0
winns,1,0
thewy,0,0
pogge,0,0
reefy,0,0
dicht,0,0
prick,0,0
tifts,1,0
dibbs,1,0
smoko,0,0
qursh,1,0
fitts,1,0
pugil,0,0
colic,1,0
cumin,0,0
croon,1,0
thanx,1,0
avail,1,0
caeca,1,0
freed,0,0
hiply,1,0
wring,0,0
feaze,0,0
mofos,1,0
bokos,1,0
refed,0,0
jafas,0,0
rewed,0,0
crunk,0,0
dodge,1,0
menge,0,0
kissy,0,0
clift,0,0
jolty,0,0
kobos,1,0
imaum,1,0
kaugh,0,0
stoss,1,0
ruffs,1,0
barby,1,0
squib,1,0
geese,1,0
poofs,1,0
topoi,1,0
chimo,0,0
ozzie,1,0
uncus,1,0
pitot,1,0
theek,0,0
broch,0,0
ahuru,1,0
mucin,0,0
ditch,0,0
thowl,0,0
calpa,0,0
turnt,1,0
defer,0,0
wisps,0,0
thawy,0,0
umami,1,0
disci,1,0
bulbs,1,0
hewer,1,0
whelp,0,0
butts,1,0
fesse,0,0
zloty,0,0
besee,1,0
grama,0,0
colby,0,0
catty,1,0
tiffs,1,0
inrun,1,0
watch,0,0
shahs,1,0
humfs,0,0
clomp,0,0
danny,1,0
glugs,1,0
asana,1,0
bombe,0,0
young,1,0
tatar,1,0
twiny,0,0
grouf,0,0
himbo,0,0
quark,1,0
yarfa,1,0
niffs,1,0
gleek,0,0
wongi,0,0
godso,1,0
wilja,0,0
typey,0,0
brool,1,0
whups,1,0
durzi,0,0
noons,1,0
calyx,1,0
agaze,0,0
tocky,0,0
mincy,0,0
dowed,1,0
wanky,0,0
blink,0,0
chara,1,0
evert,0,0
dight,0,0
sists,1,0
award,1,0
spifs,0,0
undue,1,0
emerg,0,0
chank,0,0
hoick,0,0
thing,0,0
spook,0,0
bunns,1,0
duing,0,0
elven,0,0
bebop,0,0
labda,0,0
bolix,1,0
bundt,0,0
chics,1,0
braxy,0,0
jaggs,1,0
bemix,0,0
vixen,0,0
vexil,1,0
yrivd,0,0
troth,1,0
tolly,1,0
punty,0,0
shuck,0,0
filth,0,0
fudge,0,0
flail,1,0
dandy,1,0
allow,1,0
typic,0,0
fondu,0,0
gaddi,1,0
blubs,1,0
shows,0,0
vexes,1,0
embow,0,0
night,0,0
jello,1,0
zambo,0,0
stiff,0,0
unfit,0,0
bhang,0,0
frown,0,0
turfy,0,0
thoro,1,0
nifty,0,0
shook,1,0
forky,0,0
ouzos,1,0
grypt,0,0
odour,1,0
highs,1,0
raggy,1,0
ungod,0,0
butoh,1,0
agood,1,0
kyang,0,0
berry,1,0
bling,0,0
iodin,1,0
mayan,1,0
henge,0,0
abbas,1,0
cupid,0,0
brogh,0,0
lumme,1,0
dowly,0,0
ginge,1,0
tenet,1,0
ezine,0,0
inurn,1,0
feted,0,0
kneed,0,0
petty,0,0
tewed,0,0
musky,0,0
swobs,0,0
viewy,0,0
leccy,0,0
unpen,1,0
educe,1,0
apgar,0,0
think,0,0
achar,1,0
phony,1,0
thebe,0,0
popsy,1,0
pithy,0,0
molto,1,0
woops,1,0
zizel,1,0
wowed,1,0
junks,0,0
ogmic,0,0
fluid,0,0
wryer,1,0
zooey,1,0
usury,1,0
jotun,1,0
aalii,2,0
miggs,1,0
coffs,1,0
hoofs,1,0
dwang,0,0
brock,0,0
hillo,1,0
knell,0,0
sniff,0,0
axing,0,0
fique,1,0
ohmic,0,0
emend,0,0
unbid,0,0
fugio,0,0
aboma,0,0
patty,1,0
robot,0,0
cycle,1,0
tempt,0,0
gushy,1,0
dekko,0,0
bylaw,0,0
kapok,0,0
jambo,0,0
forby,0,0
oucht,1,0
dsomo,1,0
flaky,0,0
mirin,0,0
plotz,0,0
dusks,0,0
milky,0,0
bumfs,0,0
zupan,0,0
ottos,1,0
abram,0,0
fujis,1,0
brill,1,0
byssi,0,0
adzed,0,0
sunup,1,0
jorum,0,0
boron,0,0
swigs,0,0
lills,1,0
ortho,1,0
admix,1,0
stumm,1,0
neele,1,0
tolyl,1,0
igged,0,0
tondo,1,0
vetch,0,0
tichy,0,0
zexes,1,0
where,1,0
fryer,0,0
krill,1,0
hexyl,1,0
jigot,0,0
banda,0,0
upbye,1,0
goofs,1,0
caman,1,0
queer,1,0
bushy,1,0
shash,1,0
updry,0,0
husky,1,0
teene,1,0
grill,1,0
accoy,1,0
mucid,0,0
kabar,0,0
bunje,0,0
equip,1,0
enjoy,1,0
durgy,0,0
goosy,1,0
bunco,0,0
azuki,0,0
chaft,0,0
druid,1,0
posho,1,0
benni,1,0
scums,0,0
coach,1,0
enemy,1,0
fixed,0,0
flexi,1,0
heyed,1,0
kibei,0,0
pudic,0,0
myoma,1,0
unkid,0,0
venue,0,0
exine,1,0
awave,0,0
intil,1,0
wagyu,0,0
tammy,1,0
aboon,1,0
wulls,1,0
facia,0,0
augur,1,0
gilpy,0,0
typps,1,0
cusps,0,0
diffs,1,0
divis,0,0
gurdy,0,0
perve,0,0
