maxWrong: 0
word,numWrong,numTries
aahed,1,0
aalii,2,0
aargh,0,0
aarti,1,0
abaca,1,0
abaci,1,0
aback,0,0
abacs,0,0
abaft,0,0
abaka,1,0
abamp,0,0
aband,0,0
abase,1,0
abash,1,0
abask,0,0
abate,0,0
abaya,1,0
abbas,1,0
abbed,0,0
abbes,1,0
abbey,1,0
abbot,1,0
abcee,0,0
abeam,0,0
abear,1,0
abele,1,0
abers,1,0
abets,0,0
abhor,0,0
abide,0,0
abies,1,0
abled,0,0
abler,1,0
ables,1,0
ablet,0,0
ablow,0,0
abmho,0,0
abode,0,0
abohm,0,0
aboil,1,0
aboma,0,0
aboon,1,0
abord,0,0
abore,1,0
abort,0,0
about,1,0
above,0,0
abram,0,0
abray,1,0
abrim,0,0
abrin,0,0
abris,1,0
absey,1,0
absit,0,0
abuna,1,0
abune,1,0
abuse,1,0
abuts,0,0
abuzz,0,0
abyes,1,0
abysm,0,0
abyss,0,0
acais,1,0
acari,1,0
accas,1,0
accoy,1,0
acerb,0,0
acers,1,0
aceta,1,0
achar,1,0
ached,0,0
aches,1,0
achoo,1,0
acids,1,0
acidy,1,0
acing,0,0
acini,1,0
ackee,0,0
acker,0,0
acmes,1,0
acmic,1,0
acned,0,0
acnes,1,0
acock,1,0
acold,1,0
acorn,1,0
acred,1,0
acres,1,0
acrid,1,0
acros,1,0
acted,0,0
actin,0,0
acton,0,0
actor,0,0
acute,1,0
acyls,1,0
adage,0,0
adapt,1,0
adaws,1,0
adays,1,0
adbot,0,0
addax,1,0
added,1,0
adder,1,0
addio,1,0
addle,1,0
adeem,1,0
adept,0,0
adhan,1,0
adieu,1,0
adios,1,0
adits,1,0
adman,1,0
admen,0,0
admin,0,0
admit,1,0
admix,1,0
adobe,0,0
adobo,1,0
adopt,1,0
adore,1,0
adorn,1,0
adown,0,0
adoze,0,0
adrad,1,0
adred,1,0
adsum,1,0
aduki,0,0
adult,1,0
adunc,1,0
adust,1,0
advew,0,0
adyta,1,0
adzed,0,0
adzes,0,0
aecia,1,0
aedes,1,0
aegis,1,0
aeons,1,0
aerie,1,0
aeros,1,0
aesir,1,0
afald,0,0
afara,1,0
afars,1,0
afear,1,0
affix,1,0
afire,1,0
aflaj,0,0
afoot,0,0
afore,0,0
afoul,1,0
afrit,0,0
afros,1,0
after,0,0
again,0,0
agama,1,0
agami,0,0
agape,0,0
agars,1,0
agast,1,0
agate,0,0
agave,0,0
agaze,0,0
agene,0,0
agent,0,0
agers,1,0
agger,1,0
aggie,1,0
aggri,1,0
aggro,1,0
aggry,1,0
aghas,1,0
agila,1,0
agile,1,0
aging,0,0
agios,1,0
agism,0,0
agist,0,0
agita,0,0
aglee,1,0
aglet,0,0
agley,1,0
agloo,1,0
aglow,0,0
aglus,1,0
agmas,1,0
agoge,1,0
agone,0,0
agons,0,0
agony,0,0
agood,1,0
agora,1,0
agree,1,0
agria,1,0
agrin,0,0
agros,1,0
agued,0,0
agues,1,0
aguna,1,0
aguti,0,0
ahead,1,0
aheap,1,0
ahent,1,0
ahigh,1,0
ahind,1,0
ahing,0,0
ahint,1,0
ahold,1,0
ahull,1,0
ahuru,1,0
aidas,1,0
aided,1,0
aider,1,0
aides,1,0
aidoi,1,0
aidos,1,0
aiery,1,0
aigas,1,0
aight,0,0
ailed,1,0
aimed,1,0
aimer,1,0
ainee,1,0
ainga,0,0
aioli,2,0
aired,1,0
airer,1,0
airns,1,0
airth,1,0
airts,1,0
aisle,2,0
aitch,1,0
aitus,1,0
aiver,0,0
aiyee,2,0
aizle,1,0
ajies,1,0
ajiva,0,0
ajuga,1,0
ajwan,0,0
akees,1,0
akela,1,0
akene,0,0
aking,0,0
akita,1,0
akkas,1,0
alaap,1,0
alack,0,0
alamo,1,0
aland,1,0
alane,1,0
alang,0,0
alans,1,0
alant,1,0
alapa,1,0
alaps,1,0
alarm,1,0
alary,1,0
alate,1,0
alays,2,0
albas,1,0
albee,1,0
album,0,0
alcid,1,0
alcos,1,0
aldea,1,0
alder,1,0
aldol,1,0
aleck,0,0
alecs,1,0
alefs,1,0
aleft,0,0
aleph,1,0
alert,1,0
alews,1,0
aleye,2,0
alfas,1,0
algae,1,0
algal,1,0
algas,1,0
algid,1,0
algin,0,0
algor,1,0
algum,0,0
alias,2,0
alibi,1,0
alien,1,0
alifs,1,0
align,0,0
alike,1,0
aline,1,0
alist,1,0
alive,1,0
aliya,2,0
alkie,1,0
alkos,1,0
alkyd,1,0
alkyl,1,0
allay,2,0
allee,2,0
allel,1,0
alley,2,0
allis,2,0
