6a4a96a4826a 2022-11-07 23:39:29 +1100
maxWrong: 0
word,numWrong,numTries
lanes,0,0
saned,0,0
lames,0,0
saker,0,0
saber,0,0
sager,0,0
lades,0,0
laces,0,0
sared,0,0
leads,0,0
pates,0,0
sated,0,0
tapes,0,0
leans,0,0
liars,0,0
serac,0,0
sarge,0,0
liras,0,0
larns,0,0
salep,0,0
sabre,0,0
sarod,0,0
tabes,0,0
banes,0,0
spaer,0,0
gates,0,0
bates,0,0
satem,0,0
scrae,0,0
samen,0,0
lines,0,0
loser,0,0
lakes,0,0
tarns,0,0
takes,0,0
leats,0,0
leams,0,0
kanes,0,0
scare,0,0
later,0,0
nabes,0,0
terns,0,0
lites,0,0
safer,0,0
sawer,0,0
rants,0,0
spare,0,0
vares,0,0
lenos,0,0
rents,0,0
lased,0,0
segar,0,0
lotes,0,0
lotas,0,0
liers,0,0
sable,0,0
nerts,0,0
lards,0,0
darts,0,0
fanes,0,0
lores,0,0
raves,0,0
lenis,0,0
fates,0,0
spear,0,0
lodes,0,0
sired,0,0
sepal,0,0
losen,0,0
leaps,0,0
spale,0,0
capes,0,0
santo,0,0
getas,0,0
geats,0,0
trans,0,0
tepas,0,0
litas,0,0
stade,0,0
spate,0,0
lomes,0,0
peats,0,0
paces,0,0
sider,0,0
sorda,0,0
paste,0,0
saver,0,0
septa,0,0
gades,0,0
soger,0,0
loads,0,0
sapor,0,0
leaks,0,0
saint,0,0
razes,0,0
genas,0,0
stane,0,0
lants,0,0
sewar,0,0
liens,0,0
cages,0,0
ketas,0,0
lopes,0,0
sober,0,0
seric,0,0
sedan,0,0
spier,0,0
spane,0,0
snead,0,0
satin,0,0
laten,0,0
geans,0,0
pones,0,0
learn,0,0
lases,0,0
lapse,0,0
loges,0,0
topes,0,0
stean,0,0
teaks,0,0
games,0,0
fores,0,0
mages,0,0
potes,0,0
pages,0,0
sabed,0,0
laves,0,0
beans,0,0
kades,0,0
lunes,0,0
sware,0,0
drats,0,0
tared,0,0
carts,0,0
gapes,0,0
toges,0,0
slake,0,0
lyres,0,0
vanes,0,0
limes,0,0
sited,0,0
skear,0,0
certs,0,0
twaes,0,0
sargo,0,0
caret,0,0
mabes,0,0
lerps,0,0
trads,0,0
froes,0,0
stone,0,0
stead,0,0
baste,0,0
seton,0,0
basen,0,0
spaed,0,0
skate,0,0
sabir,0,0
spore,0,0
lutes,0,0
beats,0,0
lokes,0,0
marts,0,0
stage,0,0
parts,0,0
lipes,0,0
speat,0,0
sonde,0,0
perns,0,0
terms,0,0
starn,0,0
sceat,0,0
lobes,0,0
degas,0,0
kames,0,0
makes,0,0
fires,0,0
tarps,0,0
leafs,0,0
betas,0,0
cakes,0,0
speal,0,0
peons,0,0
lazes,0,0
naves,0,0
fetas,0,0
perts,0,0
siker,0,0
loams,0,0
score,0,0
stern,0,0
feats,0,0
pines,0,0
rated,0,0
tokes,0,0
dater,0,0
stake,0,0
laics,0,0
least,0,0
layer,0,0
paren,0,0
strad,0,0
loner,0,0
swear,0,0
loast,0,0
lader,0,0
steam,0,0
snake,0,0
carte,0,0
beads,0,0
lapis,0,0
stied,0,0
sopra,0,0
latus,0,0
fades,0,0
lacer,0,0
sined,0,0
spiel,0,0
wetas,0,0
ramet,0,0
samek,0,0
salve,0,0
smote,0,0
bones,0,0
skier,0,0
tiges,0,0
cater,0,0
gites,0,0
earnt,0,0
losed,0,0
tamer,0,0
pater,0,0
sonce,0,0
lamer,0,0
lands,0,0
slant,0,0
liane,0,0
stoep,0,0
caner,0,0
slope,0,0
senti,0,0
lomas,0,0
snoep,0,0
cafes,0,0
mater,0,0
taper,0,0
sepad,0,0
toner,0,0
spade,0,0
faces,0,0
larks,0,0
spean,0,0
antre,0,0
lehrs,0,0
dants,0,0
leant,0,0
scena,0,0
saheb,0,0
derat,0,0
safed,0,0
nazes,0,0
bakes,0,0
besat,0,0
strep,0,0
spire,0,0
likes,0,0
barns,0,0
janes,0,0
abets,0,0
lated,0,0
ramen,0,0
gaits,0,0
orfes,0,0
botes,0,0
baits,0,0
sneap,0,0
sured,0,0
speir,0,0
lends,0,0
bines,0,0
karts,0,0
loins,0,0
sawed,0,0
fames,0,0
soken,0,0
lynes,0,0
lords,0,0
taigs,0,0
penis,0,0
lytes,0,0
lowes,0,0
trams,0,0
tabis,0,0
tikes,0,0
sewan,0,0
scone,0,0
geits,0,0
levas,0,0
kites,0,0
palet,0,0
prats,0,0
segol,0,0
waste,0,0
lions,0,0
kerns,0,0
labis,0,0
smite,0,0
wames,0,0
noter,0,0
peags,0,0
steno,0,0
fones,0,0
stain,0,0
sient,0,0
karns,0,0
namer,0,0
saunt,0,0
dents,0,0
slipe,0,0
pards,0,0
trems,0,0
tends,0,0
ronte,0,0
poets,0,0
bites,0,0
space,0,0
scrat,0,0
liter,0,0
sabot,0,0
traps,0,0
trade,0,0
lacet,0,0
scape,0,0
spile,0,0
limas,0,0
linos,0,0
lotsa,0,0
beams,0,0
bemas,0,0
laiks,0,0
refis,0,0
pelts,0,0
gater,0,0
lager,0,0
lunas,0,0
leary,0,0
kines,0,0
sprat,0,0
nerks,0,0
serif,0,0
pebas,0,0
avers,0,0
rance,0,0
snoek,0,0
liner,0,0
since,0,0
based,0,0
kenos,0,0
rangs,0,0
trone,0,0
takis,0,0
lipas,0,0
litre,0,0
snide,0,0
sofar,0,0
narks,0,0
farls,0,0
large,0,0
super,0,0
pomes,0,0
staid,0,0
copes,0,0
tawse,0,0
sneak,0,0
targe,0,0
doges,0,0
stime,0,0
taber,0,0
katis,0,0
scran,0,0
skean,0,0
ranks,0,0
peart,0,0
nacre,0,0
ludes,0,0
swire,0,0
snort,0,0
stope,0,0
vades,0,0
laden,0,0
mopes,0,0
fiars,0,0
sowar,0,0
taker,0,0
loran,0,0
peaks,0,0
laker,0,0
vairs,0,0
stein,0,0
armet,0,0
slave,0,0
panel,0,0
crate,0,0
wages,0,0
soman,0,0
savor,0,0
voars,0,0
tenor,0,0
smart,0,0
selva,0,0
tread,0,0
cents,0,0
prate,0,0
manet,0,0
loris,0,0
loirs,0,0
trins,0,0
caves,0,0
gelts,0,0
spite,0,0
cants,0,0
spuer,0,0
scart,0,0
gains,0,0
shape,0,0
steak,0,0
luces,0,0
loses,0,0
react,0,0
brats,0,0
sweat,0,0
fiers,0,0
piets,0,0
nabis,0,0
loves,0,0
brans,0,0
savey,0,0
spart,0,0
zetas,0,0
dargs,0,0
petar,0,0
trace,0,0
servo,0,0
paten,0,0
lande,0,0
dirts,0,0
trape,0,0
toran,0,0
saved,0,0
trabs,0,0
warts,0,0
fakes,0,0
dobes,0,0
strap,0,0
belts,0,0
tapen,0,0
siver,0,0
lifes,0,0
bodes,0,0
liart,0,0
beins,0,0
farts,0,0
sapid,0,0
dazes,0,0
zaris,0,0
pants,0,0
leuds,0,0
siroc,0,0
pases,0,0
grans,0,0
pents,0,0
bards,0,0
pared,0,0
mercs,0,0
paves,0,0
stave,0,0
benis,0,0
vapes,0,0
darbs,0,0
boats,0,0
siped,0,0
brens,0,0
ferns,0,0
crane,0,0
lepra,0,0
spait,0,0
wites,0,0
grens,0,0
sabin,0,0
spine,0,0
arpen,0,0
kelts,0,0
shred,0,0
sango,0,0
prads,0,0
loafs,0,0
votes,0,0
warns,0,0
carps,0,0
wakes,0,0
snipe,0,0
percs,0,0
stoke,0,0
segno,0,0
apter,0,0
feast,0,0
krans,0,0
darks,0,0
larnt,0,0
perst,0,0
draps,0,0
fines,0,0
surge,0,0
sages,0,0
recta,0,0
spred,0,0
snoke,0,0
stipe,0,0
niter,0,0
mokes,0,0
talks,0,0
pesto,0,0
spied,0,0
soave,0,0
treks,0,0
lutea,0,0
haves,0,0
sabes,0,0
ranke,0,0
beaks,0,0
mobes,0,0
naker,0,0
egads,0,0
suber,0,0
reman,0,0
sanko,0,0
lewis,0,0
lance,0,0
opens,0,0
trine,0,0
speil,0,0
gnars,0,0
terfs,0,0
spake,0,0
laths,0,0
sdein,0,0
bides,0,0
capos,0,0
perms,0,0
gases,0,0
rafts,0,0
rivas,0,0
stoma,0,0
strag,0,0
wines,0,0
pacos,0,0
sprad,0,0
mazes,0,0
ports,0,0
rotan,0,0
lengs,0,0
pokes,0,0
farle,0,0
snirt,0,0
sakti,0,0
porns,0,0
singe,0,0
luges,0,0
devas,0,0
arvos,0,0
stand,0,0
bases,0,0
rawns,0,0
tikas,0,0
sucre,0,0
nifes,0,0
spode,0,0
festa,0,0
shake,0,0
bants,0,0
cokes,0,0
knars,0,0
grate,0,0
range,0,0
sizer,0,0
tardo,0,0
piste,0,0
nitre,0,0
paeon,0,0
kaids,0,0
bents,0,0
laird,0,0
strak,0,0
lawer,0,0
kasme,0,0
raped,0,0
tawer,0,0
strew,0,0
skite,0,0
smalt,0,0
sowne,0,0
tozes,0,0
padre,0,0
smelt,0,0
solve,0,0
plate,0,0
table,0,0
terga,0,0
sinew,0,0
oaken,0,0
gents,0,0
kadis,0,0
loure,0,0
spain,0,0
lathe,0,0
bices,0,0
leapt,0,0
