guessIndex,numGroups
0,104
1,115
2,45
3,55
4,67
5,92
6,106
7,75
8,77
9,98
10,81
11,82
12,110
13,70
14,97
15,122
16,78
17,86
18,84
19,102
20,81
21,111
22,91
23,119
24,88
25,86
26,76
27,86
28,140
29,80
30,117
31,69
32,71
33,106
34,59
35,84
36,85
37,82
38,99
39,71
40,95
41,72
42,107
43,113
44,72
45,148
46,70
47,103
48,49
49,91
50,52
51,87
52,100
53,92
54,53
55,104
56,113
57,103
58,83
59,73
60,79
61,113
62,108
63,131
64,77
65,87
66,125
67,74
68,92
69,56
70,91
71,56
72,98
73,119
74,94
75,111
76,83
77,90
78,80
79,107
80,86
81,91
82,96
83,95
84,93
85,104
86,118
87,101
88,89
89,72
90,111
91,110
92,87
93,60
94,123
95,109
96,46
97,102
98,112
99,104
100,86
101,89
102,81
103,91
104,107
105,69
106,60
107,99
108,55
109,108
110,57
111,95
112,124
113,73
114,92
115,74
116,97
117,82
118,90
119,88
120,110
121,93
122,106
123,73
124,74
125,92
126,57
127,89
128,88
129,77
130,52
131,91
132,107
133,74
134,69
135,87
136,125
137,96
138,71
139,110
140,115
141,73
142,117
143,77
144,98
145,115
146,103
147,122
148,95
149,92
150,72
151,117
152,67
153,112
154,98
155,115
156,112
157,109
158,112
159,115
160,64
161,116
162,125
163,97
164,92
165,100
166,124
167,111
168,75
169,81
170,92
171,128
172,98
173,99
174,110
175,74
176,83
177,99
178,103
179,150
180,75
181,116
182,91
183,113
184,108
185,90
186,90
187,113
188,105
189,74
190,105
191,79
192,101
193,124
194,79
195,73
196,97
197,91
198,77
199,89
200,115
201,90
202,95
203,105
204,81
205,53
206,94
207,87
208,66
209,99
210,101
211,118
212,125
213,63
214,116
215,94
216,92
217,95
218,91
219,59
220,107
221,80
222,103
223,89
224,108
225,76
226,88
227,124
228,112
229,102
230,133
231,111
232,73
233,98
234,108
235,95
236,118
237,103
238,99
239,105
240,56
241,79
242,86
243,102
244,107
245,76
246,78
247,80
248,93
249,98
250,115
251,100
252,97
253,45
254,83
255,123
256,88
257,94
258,108
259,98
260,81
261,122
262,100
263,113
264,98
265,102
266,131
267,93
268,97
269,82
270,112
271,107
272,139
273,88
274,82
275,129
276,72
277,88
278,121
279,73
280,105
281,114
282,98
283,60
284,66
285,86
286,83
287,82
288,91
289,70
290,114
291,122
292,76
293,97
294,88
295,98
296,72
297,98
298,126
299,122
300,98
301,58
302,111
303,82
304,108
305,107
306,112
307,75
308,105
309,114
310,89
311,104
312,68
313,120
314,92
315,117
316,69
317,126
318,94
319,65
320,104
321,120
322,84
323,82
324,72
325,103
326,103
327,137
328,104
329,101
330,94
331,78
332,89
333,86
334,121
335,86
336,99
337,120
338,90
339,83
340,92
341,104
342,73
343,113
344,107
345,109
346,99
347,97
348,77
349,82
350,93
351,117
352,70
353,89
354,123
355,110
356,79
357,124
358,100
359,88
360,72
361,78
362,113
363,101
364,104
365,114
366,82
367,115
368,95
369,113
370,95
371,110
372,80
373,58
374,115
375,89
376,115
377,70
378,91
379,118
380,98
381,94
382,93
383,79
384,57
385,70
386,105
387,104
388,92
389,74
390,94
391,102
392,40
393,85
394,94
395,78
396,91
397,96
398,107
399,105
400,114
401,60
402,85
403,104
404,111
405,75
406,69
407,74
408,66
409,80
410,95
411,41
412,108
413,77
414,76
415,99
416,93
417,86
418,76
419,66
420,85
421,107
422,55
423,101
424,68
425,65
426,83
427,78
428,55
429,135
430,118
431,92
432,85
433,90
434,122
435,93
436,75
437,48
438,90
439,111
440,101
441,84
442,90
443,112
444,103
445,112
446,121
447,89
448,105
449,77
450,86
451,47
452,98
453,95
454,80
455,95
456,117
457,85
458,72
459,112
460,77
461,111
462,64
463,95
464,92
465,78
466,82
467,86
468,71
469,63
470,69
471,81
472,116
473,92
474,101
475,111
476,87
477,135
478,106
479,92
480,110
481,129
482,89
483,99
484,125
485,95
486,86
487,56
